condition,root_id,glomerulus,side,rate_hz
kc_set_b,720575940614714178,DL2v,right,0.0
kc_set_b,720575940614727903,DM3,left,0.0
kc_set_b,720575940615160386,VL1,right,0.0
kc_set_b,720575940615255993,DL3,right,0.0
kc_set_b,720575940615322674,VL2a,left,0.0
kc_set_b,720575940615366055,DM4,right,0.0
kc_set_b,720575940615394719,VC3,left,0.0
kc_set_b,720575940615406751,DC4,right,0.0
kc_set_b,720575940615808029,VM4,right,0.0
kc_set_b,720575940616020795,VM5d,right,0.0
kc_set_b,720575940616079035,DL1,left,0.0
kc_set_b,720575940616566133,VM3,right,0.0
kc_set_b,720575940616824588,DC2,left,0.0
kc_set_b,720575940617179451,VM2,left,0.0
kc_set_b,720575940617207185,DL5,left,0.0
kc_set_b,720575940617229632,DA1,right,0.0
kc_set_b,720575940617343316,DL4,right,0.0
kc_set_b,720575940617642832,VM4,right,0.0
kc_set_b,720575940617668747,VA4,left,0.0
kc_set_b,720575940617781383,DC3,right,0.0
kc_set_b,720575940617903168,VM7d,right,0.0
kc_set_b,720575940617917760,VM3,right,0.0
kc_set_b,720575940618277184,VA7l,right,0.0
kc_set_b,720575940618295454,VL2a,left,0.0
kc_set_b,720575940618308825,DP1m,left,0.0
kc_set_b,720575940618461121,VM4,left,0.0
kc_set_b,720575940618499238,D,right,0.0
kc_set_b,720575940618865112,VL2p,right,0.0
kc_set_b,720575940619071005,DM1,right,0.0
kc_set_b,720575940619280705,VM2,right,0.0
kc_set_b,720575940619337536,VM7v,left,0.0
kc_set_b,720575940619385765,DA1,left,0.0
kc_set_b,720575940619411147,VP1m,left,0.0
kc_set_b,720575940619456728,VA3,right,0.0
kc_set_b,720575940619531373,DL2v,right,0.0
kc_set_b,720575940619620852,VA1d,left,0.0
kc_set_b,720575940619637780,VM5v,right,0.0
kc_set_b,720575940619807397,DL3,left,0.0
kc_set_b,720575940619838912,VA5,left,0.0
kc_set_b,720575940619895125,VP2,left,0.0
kc_set_b,720575940619902598,VC3,left,0.0
kc_set_b,720575940619928429,VC3,left,0.0
kc_set_b,720575940620068518,VA7m,left,0.0
kc_set_b,720575940620103590,DL2d,left,0.0
kc_set_b,720575940620189790,VM5v,left,0.0
kc_set_b,720575940620199962,VA1v,left,0.0
kc_set_b,720575940620266406,VA1d,right,0.0
kc_set_b,720575940620437339,DM6,left,0.0
kc_set_b,720575940620465904,VC3,left,0.0
kc_set_b,720575940620467438,DL2v,left,0.0
kc_set_b,720575940620566808,VP1l+,right,0.0
kc_set_b,720575940620595053,VL1,left,0.0
kc_set_b,720575940620638335,DL3,left,0.0
kc_set_b,720575940621103743,VA1v,right,0.0
kc_set_b,720575940621123113,DL2d,right,0.0
kc_set_b,720575940621185050,DA1,left,0.0
kc_set_b,720575940621203632,DL3,right,0.0
kc_set_b,720575940621239679,DA1,right,0.0
kc_set_b,720575940621256212,VM7v,left,0.0
kc_set_b,720575940621316033,VC3,right,0.0
kc_set_b,720575940621333696,VA5,right,0.0
kc_set_b,720575940621529435,DC1,right,0.0
kc_set_b,720575940621533985,VC3,right,0.0
kc_set_b,720575940621696747,VA1v,right,0.0
kc_set_b,720575940621926669,DL3,left,0.0
kc_set_b,720575940622287142,VM5v,right,0.0
kc_set_b,720575940622311704,DA2,right,0.0
kc_set_b,720575940622364184,DA2,left,0.0
kc_set_b,720575940622368792,DL1,left,0.0
kc_set_b,720575940622448589,VA1d,right,0.0
kc_set_b,720575940622574532,VA7m,right,0.0
kc_set_b,720575940622675494,DM4,right,0.0
kc_set_b,720575940622726271,DP1m,right,0.0
kc_set_b,720575940622734835,DA2,left,0.0
kc_set_b,720575940622762995,DA2,right,0.0
kc_set_b,720575940622785062,DM6,left,0.0
kc_set_b,720575940622811430,VA1d,left,0.0
kc_set_b,720575940623303108,DA1,right,0.0
kc_set_b,720575940623444715,VM1,left,0.0
kc_set_b,720575940623528925,DM4,left,0.0
kc_set_b,720575940623543881,DA1,right,0.0
kc_set_b,720575940623605943,VP2,left,0.0
kc_set_b,720575940623739076,VA1v,right,0.0
kc_set_b,720575940623902471,DM6,right,0.0
kc_set_b,720575940623913364,VP1d,right,0.0
kc_set_b,720575940623922869,DL2d,left,0.0
kc_set_b,720575940623945404,VC3,right,0.0
kc_set_b,720575940624001321,VC4,left,0.0
kc_set_b,720575940624030819,VP1l+,right,0.0
kc_set_b,720575940624057853,VM6,left,0.0
kc_set_b,720575940624083484,VP1l+,right,0.0
kc_set_b,720575940624106442,DA2,right,0.0
kc_set_b,720575940624106701,DP1l,right,0.0
kc_set_b,720575940624515571,VC5,left,0.0
kc_set_b,720575940624661552,VM5v,right,0.0
kc_set_b,720575940624834697,VM4,right,0.0
kc_set_b,720575940624863015,VL1,left,0.0
kc_set_b,720575940624941244,DL2d,right,0.0
kc_set_b,720575940625014928,VA1v,right,0.0
kc_set_b,720575940625176094,VP1l+,left,0.0
kc_set_b,720575940625431866,VM5v,left,0.0
kc_set_b,720575940625493400,DM6,right,0.0
kc_set_b,720575940625564676,VA1d,right,0.0
kc_set_b,720575940625627023,VP1l+,left,0.0
kc_set_b,720575940625784153,VA7l,left,0.0
kc_set_b,720575940625924618,DA3,left,0.0
kc_set_b,720575940626034819,DA1,left,0.0
kc_set_b,720575940626043218,VP4,right,0.0
kc_set_b,720575940626143806,V,right,0.0
kc_set_b,720575940626247823,VM4,left,0.0
kc_set_b,720575940626601994,VL2a,right,0.0
kc_set_b,720575940626937617,DA2,left,0.0
kc_set_b,720575940626986885,VC4,right,0.0
kc_set_b,720575940627035388,VM5d,left,0.0
kc_set_b,720575940627042064,DL1,right,0.0
kc_set_b,720575940627160322,DC2,left,0.0
kc_set_b,720575940627245585,VP4,left,0.0
kc_set_b,720575940627353426,DL3,left,0.0
kc_set_b,720575940627480586,VM3,left,0.0
kc_set_b,720575940627708688,DL4,left,0.0
kc_set_b,720575940627772009,DL2v,left,0.0
kc_set_b,720575940627844734,D,left,0.0
kc_set_b,720575940628035543,VA7m,right,0.0
kc_set_b,720575940628077568,VM1,left,0.0
kc_set_b,720575940628181520,DL2v,left,0.0
kc_set_b,720575940628259407,DA2,right,0.0
kc_set_b,720575940628283560,VA1v,left,0.0
kc_set_b,720575940628316047,DL2d,left,0.0
kc_set_b,720575940628323919,DM4,left,0.0
kc_set_b,720575940628346194,VP1l+,left,0.0
kc_set_b,720575940628467611,VL2p,left,0.0
kc_set_b,720575940628524292,VM7d,left,0.0
kc_set_b,720575940628739560,VC2,left,0.0
kc_set_b,720575940628882450,DL3,right,0.0
kc_set_b,720575940629009513,VA3,right,0.0
kc_set_b,720575940629011655,VP1d,left,0.0
kc_set_b,720575940629097922,VA1v,left,0.0
kc_set_b,720575940629279544,VM5d,right,0.0
kc_set_b,720575940629301248,V,right,0.0
kc_set_b,720575940629451833,DL2d,right,0.0
kc_set_b,720575940629546538,DC4,left,0.0
kc_set_b,720575940629733626,VA1v,left,0.0
kc_set_b,720575940629926159,DM5,left,0.0
kc_set_b,720575940629947439,VL2p,right,0.0
kc_set_b,720575940630024566,DM2,left,0.0
kc_set_b,720575940630066007,DA1,right,0.0
kc_set_b,720575940630097103,VC2,right,0.0
kc_set_b,720575940630131663,DC3,left,0.0
kc_set_b,720575940630155083,DA3,right,0.0
kc_set_b,720575940630217086,DL2d,right,0.0
kc_set_b,720575940630493818,DC2,right,0.0
kc_set_b,720575940630546540,V,left,0.0
kc_set_b,720575940630547909,VA1d,right,0.0
kc_set_b,720575940630549370,DM3,right,0.0
kc_set_b,720575940630584079,VP1l+,left,0.0
kc_set_b,720575940630770042,DM1,left,0.0
kc_set_b,720575940630778428,DL3,left,0.0
kc_set_b,720575940630895055,VC5,right,0.0
kc_set_b,720575940630914858,DC4,right,0.0
kc_set_b,720575940630928715,DL2d,left,0.0
kc_set_b,720575940630983954,VL1,right,0.0
kc_set_b,720575940630989354,VA1v,right,0.0
kc_set_b,720575940631054634,VC5,right,0.0
kc_set_b,720575940631161570,DL2v,right,0.0
kc_set_b,720575940631193052,DC2,right,0.0
kc_set_b,720575940631305068,DP1l,left,0.0
kc_set_b,720575940631328104,DM6,left,0.0
kc_set_b,720575940631347011,VP2,right,0.0
kc_set_b,720575940631462200,VM7d,right,0.0
kc_set_b,720575940631742156,VA1v,right,0.0
kc_set_b,720575940631930828,DA4m,left,0.0
kc_set_b,720575940632167085,DL1,right,0.0
kc_set_b,720575940632571583,VL2a,left,0.0
kc_set_b,720575940632698797,VM6,right,0.0
kc_set_b,720575940632720026,VA1v,left,0.0
kc_set_b,720575940632868563,VA5,right,0.0
kc_set_b,720575940633165025,VA1v,right,0.0
kc_set_b,720575940633166151,DC4,left,0.0
kc_set_b,720575940633190847,VC1,right,0.0
kc_set_b,720575940633499548,VA5,right,0.0
kc_set_b,720575940633804212,D,left,0.0
kc_set_b,720575940634229615,VA1v,left,0.0
kc_set_b,720575940634325087,VM5d,right,0.0
kc_set_b,720575940634710629,DL3,right,0.0
kc_set_b,720575940634939327,DC3,left,0.0
kc_set_b,720575940635066975,VP1m,right,0.0
kc_set_b,720575940635082871,VM5d,left,0.0
kc_set_b,720575940635604581,DL3,right,0.0
kc_set_b,720575940635933119,VC4,left,0.0
kc_set_b,720575940635983770,DP1l,right,0.0
kc_set_b,720575940636873791,VA6,left,0.0
kc_set_b,720575940637009636,VA5,left,0.0
kc_set_b,720575940637056887,DC1,left,0.0
kc_set_b,720575940637208718,DA1,left,0.0
kc_set_b,720575940637231593,VA5,left,0.0
kc_set_b,720575940637469254,DA1,right,0.0
kc_set_b,720575940637526190,VC1,left,0.0
kc_set_b,720575940637594334,VA6,right,0.0
kc_set_b,720575940637628762,DM2,right,0.0
kc_set_b,720575940637864355,DL2v,right,0.0
kc_set_b,720575940637910106,V,left,0.0
kc_set_b,720575940637943374,DC3,right,0.0
kc_set_b,720575940638583869,VL2a,right,0.0
kc_set_b,720575940638624189,DM2,right,0.0
kc_set_b,720575940638633535,DM2,left,0.0
kc_set_b,720575940638719104,DA2,left,0.0
kc_set_b,720575940639080765,DL5,right,0.0
kc_set_b,720575940639121571,VM5d,right,0.0
kc_set_b,720575940639337461,DA2,right,0.0
kc_set_b,720575940639680957,VA7m,left,0.0
kc_set_b,720575940640032896,DM5,left,0.0
kc_set_b,720575940640398477,VA7m,left,0.0
kc_set_b,720575940640697808,VM2,left,0.0
kc_set_b,720575940640804853,VA1d,left,0.0
kc_set_b,720575940640971995,VM4,left,0.0
kc_set_b,720575940642046453,DL2d,left,0.0
kc_set_b,720575940642086389,VA4,right,0.0
kc_set_b,720575940642492576,DM5,right,0.0
kc_set_b,720575940644004768,VM1,right,0.0
kc_set_b,720575940644258327,DM5,left,0.0
kc_set_b,720575940644961588,VM5d,left,0.0
kc_set_b,720575940646122804,DA1,left,0.0
kc_set_b,720575940648650884,DP1l,left,0.0
kc_set_b,720575940649045369,DA4l,right,0.0
kc_set_b,720575940649133945,DA3,right,0.0
kc_set_b,720575940652875681,DC4,right,0.0
kc_set_b,720575940656090017,VA3,left,0.0
kc_set_b,720575940659400577,DA3,left,0.0
